Date,HourEnding,TotalResourceMWZoneSouth,TotalResourceMWZoneNorth,TotalResourceMWZoneWest,TotalResourceMWZoneHouston,TotalIRRMWZoneSouth,TotalIRRMWZoneNorth,TotalIRRMWZoneWest,TotalIRRMWZoneHouston,TotalNewEquipResourceMWZoneSouth,TotalNewEquipResourceMWZoneNorth,TotalNewEquipResourceMWZoneWest,TotalNewEquipResourceMWZoneHouston,HB,datetime,TotalResourceMW
02/23/2022,24,1304,3232,692,2006,937,949,1898,382,1218,562,379,753,23,2022-02-23 23:00:00,7234
02/24/2022,1,1284,3232,692,2006,937,1059,1898,382,1218,562,379,753,0,2022-02-24 00:00:00,7214
02/24/2022,2,1626,3232,692,2006,937,1059,3055,382,1218,562,379,753,1,2022-02-24 01:00:00,7556
02/24/2022,3,1626,3232,692,2006,937,1059,3439,382,1218,562,379,753,2,2022-02-24 02:00:00,7556
02/24/2022,4,1626,3232,692,2006,937,1059,3439,382,1218,562,379,753,3,2022-02-24 03:00:00,7556
02/24/2022,5,1626,3192,692,2006,960,1345,3442,382,1218,562,379,753,4,2022-02-24 04:00:00,7516
02/24/2022,6,1284,3241,692,2006,1090,1485,3715,382,1218,562,379,753,5,2022-02-24 05:00:00,7223
02/24/2022,7,982,3241,1000,2006,1355,1691,3918,382,1218,562,379,753,6,2022-02-24 06:00:00,7229
02/24/2022,8,966,3241,1000,2006,1461,1806,6678,382,1218,562,379,753,7,2022-02-24 07:00:00,7213
02/24/2022,9,1386,3241,1000,2006,1519,2244,8410,382,1218,627,379,753,8,2022-02-24 08:00:00,7633
02/24/2022,10,1388,3241,1000,2026,1519,2244,8719,382,1218,627,379,753,9,2022-02-24 09:00:00,7655
02/24/2022,11,1340,3241,1000,2026,1519,2244,8762,382,1218,627,379,753,10,2022-02-24 10:00:00,7607
02/24/2022,12,1907,3241,1000,2026,1519,2244,8784,382,1218,627,379,753,11,2022-02-24 11:00:00,8174
02/24/2022,13,1558,3241,1000,2109,1619,2294,8768,382,1218,627,379,753,12,2022-02-24 12:00:00,7908
02/24/2022,14,1558,3241,1000,2109,1616,2294,8860,382,1218,627,379,753,13,2022-02-24 13:00:00,7908
02/24/2022,15,1136,3241,1000,2109,1616,2294,8497,382,1218,627,379,753,14,2022-02-24 14:00:00,7486
02/24/2022,16,787,3241,1000,2109,1616,2294,8451,382,1218,627,379,753,15,2022-02-24 15:00:00,7137
02/24/2022,17,787,3241,1000,2109,1604,2290,8852,382,1218,627,379,753,16,2022-02-24 16:00:00,7137
02/24/2022,18,787,3241,1000,2109,1594,2391,9008,382,1218,627,379,753,17,2022-02-24 17:00:00,7137
02/24/2022,19,787,3241,1000,2109,1594,2391,8548,382,1218,627,379,753,18,2022-02-24 18:00:00,7137
02/24/2022,20,787,3241,1000,2109,1594,2371,8674,382,1218,627,379,753,19,2022-02-24 19:00:00,7137
02/24/2022,21,787,3241,1000,2026,1358,2222,8053,382,1218,627,379,753,20,2022-02-24 20:00:00,7054
02/24/2022,22,787,3241,1000,2026,1358,2222,8053,382,1218,627,379,753,21,2022-02-24 21:00:00,7054
02/24/2022,23,787,3241,1000,2026,1358,2222,8053,382,1218,627,379,753,22,2022-02-24 22:00:00,7054
02/24/2022,24,464,3211,1000,1964,1358,2129,8151,382,1218,627,379,753,23,2022-02-24 23:00:00,6639
02/25/2022,1,625,3211,1000,1964,1358,2129,8151,382,1218,627,379,753,0,2022-02-25 00:00:00,6800
02/25/2022,2,625,3211,1000,1964,1358,2129,8151,382,1218,627,379,753,1,2022-02-25 01:00:00,6800
02/25/2022,3,625,3211,1000,1964,1358,2129,8151,382,1218,627,379,753,2,2022-02-25 02:00:00,6800
02/25/2022,4,625,3211,1000,1964,1358,2129,8025,382,1218,627,379,753,3,2022-02-25 03:00:00,6800
02/25/2022,5,625,3211,1000,1964,1358,2129,7905,382,1218,627,379,753,4,2022-02-25 04:00:00,6800
02/25/2022,6,625,3211,1000,1964,1358,2129,7905,382,1218,627,379,753,5,2022-02-25 05:00:00,6800
02/25/2022,7,625,3211,1000,1964,1358,2129,7830,382,1218,627,379,753,6,2022-02-25 06:00:00,6800
02/25/2022,8,625,3211,1000,1964,1358,2129,7224,382,1218,627,379,753,7,2022-02-25 07:00:00,6800
02/25/2022,9,625,3177,1000,1964,1358,2129,6885,382,1218,627,379,753,8,2022-02-25 08:00:00,6766
02/25/2022,10,625,3229,692,1964,1358,2129,6074,382,1218,627,379,753,9,2022-02-25 09:00:00,6510
02/25/2022,11,625,3229,692,1964,1358,2129,6074,382,1218,627,379,753,10,2022-02-25 10:00:00,6510
02/25/2022,12,625,3177,692,1964,1358,2129,6074,382,1218,627,379,753,11,2022-02-25 11:00:00,6458
02/25/2022,13,625,3115,660,1964,1358,1829,4227,382,1218,627,379,753,12,2022-02-25 12:00:00,6364
02/25/2022,14,625,3115,660,1964,1358,1829,4227,382,1218,627,379,753,13,2022-02-25 13:00:00,6364
02/25/2022,15,625,3115,660,1964,1358,1829,4001,382,1218,627,379,753,14,2022-02-25 14:00:00,6364
02/25/2022,16,625,3115,660,1964,1358,1829,4001,382,1218,627,379,753,15,2022-02-25 15:00:00,6364
02/25/2022,17,616,3115,660,1964,1358,1829,4001,382,1218,627,379,753,16,2022-02-25 16:00:00,6355
02/25/2022,18,616,3115,660,1964,1313,1829,3554,382,1218,627,379,753,17,2022-02-25 17:00:00,6355
02/25/2022,19,616,3115,660,1964,1313,1829,3137,382,1218,627,379,753,18,2022-02-25 18:00:00,6355
02/25/2022,20,616,3115,660,1964,1313,1632,3137,382,1218,627,379,753,19,2022-02-25 19:00:00,6355
02/25/2022,21,616,3115,660,1964,1313,1632,3137,382,1218,627,379,753,20,2022-02-25 20:00:00,6355
02/25/2022,22,616,3115,660,1964,1313,1632,3137,382,1218,627,379,753,21,2022-02-25 21:00:00,6355
02/25/2022,23,616,3115,660,2503,1271,1632,3137,382,1218,627,379,753,22,2022-02-25 22:00:00,6894
02/25/2022,24,992,2900,646,2269,1138,1430,3207,382,1218,627,379,753,23,2022-02-25 23:00:00,6807
02/26/2022,1,992,4243,841,2269,1138,1430,3207,382,1218,627,379,753,0,2022-02-26 00:00:00,8345
02/26/2022,2,992,4243,841,2269,1138,1430,3207,382,1218,627,379,753,1,2022-02-26 01:00:00,8345
02/26/2022,3,992,4243,841,2269,1138,1430,3207,382,1218,627,379,753,2,2022-02-26 02:00:00,8345
02/26/2022,4,992,4243,841,2269,1138,1430,3207,382,1218,627,379,753,3,2022-02-26 03:00:00,8345
02/26/2022,5,992,4243,841,2269,1138,1430,3207,382,1218,627,379,753,4,2022-02-26 04:00:00,8345
02/26/2022,6,992,4193,841,2269,1138,1430,3207,382,1218,627,379,753,5,2022-02-26 05:00:00,8295
02/26/2022,7,992,4193,841,2269,1138,1430,3207,382,1218,627,379,753,6,2022-02-26 06:00:00,8295
02/26/2022,8,992,4193,841,2269,1138,1346,3207,382,1218,627,379,753,7,2022-02-26 07:00:00,8295
02/26/2022,9,992,4193,841,2269,1138,1346,3207,382,1218,627,379,753,8,2022-02-26 08:00:00,8295
02/26/2022,10,992,4193,841,2269,1138,1346,3207,382,1218,627,379,753,9,2022-02-26 09:00:00,8295
02/26/2022,11,992,4193,841,2269,1138,1346,3207,382,1218,627,379,753,10,2022-02-26 10:00:00,8295
02/26/2022,12,1039,4193,841,2269,1138,1346,3207,382,1218,627,379,753,11,2022-02-26 11:00:00,8342
02/26/2022,13,1039,4175,841,2269,1138,1301,3207,382,1218,627,379,753,12,2022-02-26 12:00:00,8324
02/26/2022,14,1039,4175,841,2269,1138,1301,3207,382,1218,627,379,753,13,2022-02-26 13:00:00,8324
02/26/2022,15,1039,4175,841,2269,1138,1301,3207,382,1218,627,379,753,14,2022-02-26 14:00:00,8324
02/26/2022,16,992,4175,841,2269,1138,1301,3207,382,1218,627,379,753,15,2022-02-26 15:00:00,8277
02/26/2022,17,992,4175,841,2269,1138,1301,3207,382,1218,627,379,753,16,2022-02-26 16:00:00,8277
02/26/2022,18,992,4175,841,2269,1138,1301,3207,382,1218,627,379,753,17,2022-02-26 17:00:00,8277
02/26/2022,19,992,4135,841,2269,1138,1301,3009,382,1218,627,379,753,18,2022-02-26 18:00:00,8237
02/26/2022,20,992,4135,841,2269,1138,1385,3009,382,1218,627,379,753,19,2022-02-26 19:00:00,8237
02/26/2022,21,992,4135,841,2269,1138,1385,3009,382,1218,627,379,753,20,2022-02-26 20:00:00,8237
02/26/2022,22,992,4135,841,2269,1138,1385,3009,382,1218,627,379,753,21,2022-02-26 21:00:00,8237
02/26/2022,23,992,4135,841,2269,1138,1385,3009,382,1218,627,379,753,22,2022-02-26 22:00:00,8237
02/26/2022,24,992,4135,841,2269,945,1385,3032,382,1218,627,379,753,23,2022-02-26 23:00:00,8237
02/27/2022,1,831,4135,841,2269,945,1385,3032,382,1218,627,379,753,0,2022-02-27 00:00:00,8076
02/27/2022,2,831,4135,841,2269,945,1385,3032,382,1218,627,379,753,1,2022-02-27 01:00:00,8076
02/27/2022,3,831,4135,841,2269,945,1385,3032,382,1218,627,379,753,2,2022-02-27 02:00:00,8076
02/27/2022,4,831,4135,841,2269,945,1385,3032,382,1218,627,379,753,3,2022-02-27 03:00:00,8076
02/27/2022,5,831,4135,841,2269,945,1385,3032,382,1218,627,379,753,4,2022-02-27 04:00:00,8076
02/27/2022,6,831,4135,841,2269,945,1385,3032,382,1218,627,379,753,5,2022-02-27 05:00:00,8076
02/27/2022,7,831,4135,841,2269,945,1385,3032,382,1218,627,379,753,6,2022-02-27 06:00:00,8076
02/27/2022,8,831,3349,841,2269,945,1301,3032,382,1218,627,379,753,7,2022-02-27 07:00:00,7290
02/27/2022,9,831,3349,841,2269,945,1301,3032,382,1218,627,379,753,8,2022-02-27 08:00:00,7290
02/27/2022,10,831,3349,841,2269,945,1301,3032,382,1218,627,379,753,9,2022-02-27 09:00:00,7290
02/27/2022,11,831,3349,841,2269,945,1301,3032,382,1218,627,379,753,10,2022-02-27 10:00:00,7290
02/27/2022,12,831,3349,841,2269,945,1301,3032,382,1218,627,379,753,11,2022-02-27 11:00:00,7290
02/27/2022,13,831,3349,841,2269,945,1301,3032,382,1218,627,379,753,12,2022-02-27 12:00:00,7290
02/27/2022,14,831,3349,841,2269,945,1301,3032,382,1218,627,379,753,13,2022-02-27 13:00:00,7290
02/27/2022,15,831,3349,841,2269,945,1301,3032,382,1218,627,379,753,14,2022-02-27 14:00:00,7290
02/27/2022,16,831,3349,841,2269,945,1301,3032,382,1218,627,379,753,15,2022-02-27 15:00:00,7290
02/27/2022,17,831,3349,841,2269,945,1301,3032,382,1218,627,379,753,16,2022-02-27 16:00:00,7290
02/27/2022,18,831,3349,841,2269,945,1301,3032,382,1218,627,379,753,17,2022-02-27 17:00:00,7290
02/27/2022,19,831,3203,841,2269,945,1138,2528,382,1218,627,379,753,18,2022-02-27 18:00:00,7144
02/27/2022,20,831,3203,841,2269,945,1138,2528,382,1218,627,379,753,19,2022-02-27 19:00:00,7144
02/27/2022,21,831,3203,841,2269,945,1138,2528,382,1218,627,379,753,20,2022-02-27 20:00:00,7144
02/27/2022,22,831,3203,841,2269,945,1138,2388,382,1218,627,379,753,21,2022-02-27 21:00:00,7144
02/27/2022,23,831,3203,841,2269,945,1138,2388,382,1218,627,379,753,22,2022-02-27 22:00:00,7144
02/27/2022,24,831,3203,841,2218,945,1138,2322,382,1218,627,379,753,23,2022-02-27 23:00:00,7093
02/28/2022,1,925,3203,905,2275,945,1138,2322,382,1218,627,379,753,0,2022-02-28 00:00:00,7308
02/28/2022,2,925,3203,905,2275,945,1138,2322,382,1218,627,379,753,1,2022-02-28 01:00:00,7308
