datetime,DELIVERY_DATE,type,value,region
2022-02-22 20:00:00,02/22/2022,ACTUAL_SYSTEM_WIDE,25024.52,ISO
2022-02-22 21:00:00,02/22/2022,ACTUAL_SYSTEM_WIDE,25117.73,ISO
2022-02-22 22:00:00,02/22/2022,ACTUAL_SYSTEM_WIDE,25147.81,ISO
2022-02-22 23:00:00,02/22/2022,ACTUAL_SYSTEM_WIDE,25004.81,ISO
2022-02-23 00:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,24866.28,ISO
2022-02-23 01:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,24592.21,ISO
2022-02-23 02:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,24372.1,ISO
2022-02-23 03:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,23950.55,ISO
2022-02-23 04:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,23055.12,ISO
2022-02-23 05:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,22177.73,ISO
2022-02-23 06:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,20951.74,ISO
2022-02-23 07:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,18817.49,ISO
2022-02-23 08:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,16801.3,ISO
2022-02-23 09:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,15087.11,ISO
2022-02-23 10:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,12690.39,ISO
2022-02-23 11:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,10829.99,ISO
2022-02-23 12:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,9881.74,ISO
2022-02-23 13:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,9344.64,ISO
2022-02-23 14:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,9227.8,ISO
2022-02-23 15:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,8487.99,ISO
2022-02-23 16:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,7980.71,ISO
2022-02-23 17:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,7341.28,ISO
2022-02-23 18:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,7142.87,ISO
2022-02-23 19:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,7726.95,ISO
2022-02-23 20:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,7300.49,ISO
2022-02-23 21:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,5548.33,ISO
2022-02-23 22:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,3915.47,ISO
2022-02-23 23:00:00,02/23/2022,ACTUAL_SYSTEM_WIDE,2892.1,ISO
2022-02-24 00:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,2256.53,ISO
2022-02-24 01:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,1747.6,ISO
2022-02-24 02:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,1504.16,ISO
2022-02-24 03:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,1595.26,ISO
2022-02-24 04:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,1269.97,ISO
2022-02-24 05:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,1210.52,ISO
2022-02-24 06:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,1280.05,ISO
2022-02-24 07:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,1168.4,ISO
2022-02-24 08:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,852.25,ISO
2022-02-24 09:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,692.41,ISO
2022-02-24 10:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,580.68,ISO
2022-02-24 11:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,762.05,ISO
2022-02-24 12:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,1262.13,ISO
2022-02-24 13:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,2053.27,ISO
2022-02-24 14:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,2745.58,ISO
2022-02-24 15:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,4115.0,ISO
2022-02-24 16:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,4772.71,ISO
2022-02-24 17:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,4976.07,ISO
2022-02-24 18:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,4954.88,ISO
2022-02-24 19:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,5306.85,ISO
2022-02-24 20:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-24 21:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-24 22:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-24 23:00:00,02/24/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 00:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 01:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 02:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 03:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 04:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 05:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 06:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 07:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 08:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 09:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 10:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 11:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 12:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 13:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 14:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 15:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 16:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 17:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 18:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 19:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 20:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 21:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 22:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-25 23:00:00,02/25/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 00:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 01:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 02:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 03:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 04:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 05:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 06:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 07:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 08:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 09:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 10:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 11:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 12:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 13:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 14:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 15:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 16:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 17:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 18:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 19:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 20:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 21:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 22:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-26 23:00:00,02/26/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-27 00:00:00,02/27/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-27 01:00:00,02/27/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-27 02:00:00,02/27/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-27 03:00:00,02/27/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-27 04:00:00,02/27/2022,ACTUAL_SYSTEM_WIDE,,ISO
2022-02-27 05:00:00,02/27/2022,ACTUAL_SYSTEM_WIDE,,ISO
